JYS,ZQLX,KPBZ,MMFX,FYLB,JSFS,FL,SX,XX
SZ,ASH,O,2,2,1, 0.000000,            0.00,            0.00
SZ,ASH,O,2,3,1, 0.000000,            0.00,            0.00
SZ,ASH,O,2,4,1, 0.000000,            0.00,            0.00
SZ,ASH,O,2,5,2, 0.000000,            0.00,            0.00
SZ,ASH,O,2,6,2, 0.000000,            0.00,            0.00
SZ,EBS,O,2,1,2, 0.000000,            0.00,            0.00
SZ,EBS,O,2,2,1, 0.000000,            0.00,            0.00
SZ,EBS,O,2,3,1, 0.000000,            0.00,            0.00
SZ,EBS,O,2,4,1, 0.000000,            0.00,            0.00
SZ,EBS,O,2,5,2, 0.000000,            0.00,            0.00
SZ,EBS,O,2,6,2, 0.000000,            0.00,            0.00
SZ,ASH,C,1,1,2,12.000000,            0.00,            0.00
SZ,ASH,C,1,2,1, 0.000000,            0.00,            0.00
SZ,ASH,C,1,3,1, 0.000000,            0.00,            0.00
SZ,ASH,C,1,4,1, 0.000000,            0.00,            0.00
SZ,ASH,C,1,5,2, 0.450000,            0.00,            0.00
SZ,ASH,C,1,6,2, 1.300000,            0.00,            0.00
SZ,EBS,C,1,1,2,10.000000,            0.00,            0.00
SZ,EBS,C,1,2,1, 0.000000,            0.00,            0.00
SZ,EBS,C,1,3,1, 0.000000,            0.00,            0.00
SZ,EBS,C,1,4,1, 0.000000,            0.00,            0.00
SZ,EBS,C,1,5,2, 0.300000,            0.00,            0.00
SZ,EBS,C,1,6,2, 1.300000,            0.00,            0.00
SZ,ASH,O,1,1,2,12.000000,            0.00,            0.00
SZ,ASH,O,1,2,1, 0.000000,            0.00,            0.00
SZ,ASH,O,1,3,1, 0.000000,            0.00,            0.00
SZ,ASH,O,1,4,1, 0.000000,            0.00,            0.00
SZ,ASH,O,1,5,2, 0.450000,            0.00,            0.00
SZ,ASH,O,1,6,2, 1.300000,            0.00,            0.00
SZ,ASH,E,1,2,1, 0.000000,            0.00,            0.00
SZ,ASH,E,1,4,1, 0.000000,            0.00,            0.00
SZ,ASH,C,2,6,2, 1.300000,            0.00,            0.00
SZ,ASH,E,1,6,2, 0.000000,            0.00,            0.00
SZ,EBS,C,2,2,1, 0.000000,            0.00,            0.00
SZ,EBS,E,1,2,1, 0.000000,            0.00,            0.00
SZ,EBS,E,1,4,1, 0.000000,            0.00,            0.00
SZ,ASH,C,2,2,1, 0.000000,            0.00,            0.00
SH,EBS,E,2,5,2, 0.000000,            0.00,            0.00
SZ,ASH,E,2,5,2, 0.000000,            0.00,            0.00
SZ,EBS,E,2,5,2, 0.000000,            0.00,            0.00
